rome,rome_label,formacode,formacode_label
61231,Chef de chantier du BTP,22294,CONDUITE CHANTIER BTP
61232,Conducteur de travaux du BTP,22293,CONDUITE TRAVAUX BTP
61233,Cadre technique d'exploitation des gisements,12229,PROSPECTION EXPLOITATION PETROLE
61233,Cadre technique d'exploitation des gisements,12249,PROSPECTION EXPLOITATION GAZ
61233,Cadre technique d'exploitation des gisements,12258,PROSPECTION EXPLOITATION MINIERE
61233,Cadre technique d'exploitation des gisements,24167,HYDROCARBURE
61233,Cadre technique d'exploitation des gisements,24176,PETROLE
61233,Cadre technique d'exploitation des gisements,24179,CHARBON
61233,Cadre technique d'exploitation des gisements,24189,GAZ
61311,Responsable logistique,31571,LOGISTIQUE
61311,Responsable logistique,34287,LOGISTIQUE INTERNATIONALE
61312,Responsable d'exploitation des transports routiers de marchandises,31827,TRANSPORT MARCHANDISE
61312,Responsable d'exploitation des transports routiers de marchandises,31895,GESTION ENTREPRISE TRANSPORT
61313,Responsable d'exploitation des transports routiers de voyageurs,31805,TRANSPORT EN COMMUN
61313,Responsable d'exploitation des transports routiers de voyageurs,31895,GESTION ENTREPRISE TRANSPORT
61321,Personnel navigant technique de l'aviation,31886,MECANICIEN NAVIGANT
61321,Personnel navigant technique de l'aviation,31887,PILOTAGE HELICOPTERE
61321,Personnel navigant technique de l'aviation,31888,PILOTAGE AVION
61321,Personnel navigant technique de l'aviation,31889,PILOTE DE LIGNE
61321,Personnel navigant technique de l'aviation,31899,PILOTAGE QUALIFICATION IFR
61322,Personnel d'encadrement de la marine,31892,CAPITAINE MARINE
61322,Personnel d'encadrement de la marine,31893,OFFICIER MARINE
61331,Technicien de préparation des vols,31876,PERSONNEL AU SOL
61332,Contrôleur de la navigation aérienne,31876,PERSONNEL AU SOL
